id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name
1069008,0.0,1.0,2.0,0.2,5.0,1.0,0.333,9.0,3.0,0.0,0.0,0.0,20:08,0.0,0.0,7.0,2.0,0.0,2.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,415,Iman,6.0,5.0,Shumpert,G,3,215.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069009,4.0,0.0,5.0,0.0,2.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,19:22,1.0,1.0,2.0,6.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,49,Nemanja,6.0,10.0,Bjelica,F,26,234.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069010,4.0,1.0,5.0,0.0,0.0,0.0,0.667,6.0,4.0,0.0,0.0,0.0,27:24,6.0,2.0,8.0,11.0,3.0,2.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,91,Willie,7.0,0.0,Cauley-Stein,C,7,240.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069011,1.0,0.0,1.0,0.545,11.0,6.0,0.5,18.0,9.0,0.0,0.0,0.0,32:06,0.0,2.0,24.0,1.0,2.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,210,Buddy,6.0,4.0,Hield,G,26,214.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069012,8.0,1.0,5.0,0.0,2.0,0.0,0.4,10.0,4.0,0.667,3.0,2.0,30:30,0.0,4.0,10.0,5.0,1.0,4.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,161,De'Aaron,6.0,3.0,Fox,G,26,175.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069013,2.0,0.0,1.0,0.5,2.0,1.0,0.615,13.0,8.0,0.0,0.0,0.0,27:20,0.0,2.0,17.0,1.0,1.0,2.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,53,Bogdan,6.0,6.0,Bogdanovic,G,26,205.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069014,2.0,0.0,1.0,0.333,3.0,1.0,0.4,5.0,2.0,0.0,0.0,0.0,16:22,0.0,1.0,5.0,1.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,157,Yogi,6.0,0.0,Ferrell,G,26,180.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069015,1.0,0.0,4.0,0.5,2.0,1.0,0.545,11.0,6.0,0.5,4.0,2.0,22:55,4.0,2.0,15.0,8.0,0.0,3.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,24,Marvin,6.0,11.0,Bagley III,F,26,234.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069016,2.0,0.0,3.0,0.25,4.0,1.0,0.4,5.0,2.0,0.5,2.0,1.0,24:07,0.0,2.0,6.0,3.0,0.0,0.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,235,Justin,6.0,8.0,Jackson,F,7,210.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1069017,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.25,4.0,1.0,16:14,0.0,6.0,1.0,4.0,0.0,4.0,45237,2019-01-17T00:00:00.000Z,4,114,4,False,2018,Final, ,26,95,174,Harry,6.0,10.0,Giles III,F-C,26,240.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
